Date,Open,High,Low,Close,Adjusted Close,Volume
01/01/1996,7.319124222,7.358397007,7.270925045,7.345901012,4.595799923,104121369
02/01/1996,7.328050137,7.363752842,7.235221863,7.288775921,4.560060501,168743308
03/01/1996,7.408380985,7.745775223,7.328050137,7.344116211,4.594682693,209323879
04/01/1996,7.274495125,7.297701836,7.178096771,7.276279926,4.552242279,216900264
05/01/1996,7.247717857,7.247717857,7.163815975,7.226295948,4.520970821,166708467
08/01/1996,7.212015152,7.217370033,6.865695,6.937100887,4.340043068,186974245
09/01/1996,6.731809139,6.854983807,6.506879807,6.737164021,4.214958668,388766555
10/01/1996,6.605062962,6.763940811,6.533657074,6.564003944,4.106623173,276606655
11/01/1996,6.497953892,6.801430225,6.489027977,6.769297123,4.235061646,409645726
12/01/1996,6.819281101,6.871050835,6.653262138,6.697891235,4.190385342,374687924
15/01/1996,6.678254128,6.712172031,6.590782166,6.628270149,4.146830082,199981539
16/01/1996,6.605062962,6.676468849,6.583641052,6.640766144,4.154647827,217247573
17/01/1996,6.605062962,6.613988876,6.321224213,6.376563072,3.989355087,299629901
18/01/1996,6.214115143,6.315867901,6.133782864,6.199832916,3.878787041,377502810
19/01/1996,6.114146233,6.190907955,6.049880981,6.090939045,3.810660601,324535340
22/01/1996,6.110576153,6.274809837,6.105219841,6.194478035,3.875437498,338613971
23/01/1996,6.215899944,6.242677212,5.605378151,5.932061195,3.711262226,354919302
24/01/1996,5.880290985,5.915994167,5.641080856,5.728552818,3.583941221,351185727
25/01/1996,5.716056824,5.741048813,5.453639984,5.487557888,3.433168173,360855771
26/01/1996,5.487557888,5.487557888,5.487557888,5.487557888,3.433168173,0
29/01/1996,5.462564945,5.971333981,5.428647995,5.91956377,3.703443766,652902286
30/01/1996,6.105219841,6.747875214,6.015963078,6.451539993,4.036262989,1061936020
31/01/1996,6.390844822,6.631840229,6.149848938,6.31051302,3.948033094,731560842
01/02/1996,6.248032093,6.605062962,6.230181217,6.564003944,4.106623173,640422958
02/02/1996,6.738948822,7.354826927,6.738948822,7.276279926,4.552242279,818725675
05/02/1996,7.676154137,8.040325165,7.445869923,7.881446838,4.930851936,1222482548
06/02/1996,8.070672989,8.211700439,7.05492115,7.220940113,4.517621517,1242315590
07/02/1996,6.821065903,7.426232815,6.749660015,7.354826927,4.601384163,895441820
08/02/1996,7.429802895,8.12779808,7.354826927,7.997481823,5.003447533,821653997
09/02/1996,8.28310585,8.640135765,8.001051903,8.461621284,5.293825626,994440377
12/02/1996,8.247403145,8.39021492,7.818965912,7.931430817,4.962123394,971599188
13/02/1996,7.854669094,8.716897964,7.786833763,8.40806675,5.260320187,1019034918
14/02/1996,8.622284889,8.745459557,8.349157333,8.413421631,5.263670921,622459505
15/02/1996,8.211700439,8.479473114,8.140294075,8.279536247,5.179908752,699136437
16/02/1996,8.140294075,8.220625877,8.070672989,8.133152962,5.088326454,495646793
19/02/1996,8.28310585,8.397356033,8.167071342,8.215270042,5.13970089,518231701
20/02/1996,8.211700439,8.245617867,7.676154137,7.781477928,4.868309498,639131752
21/02/1996,7.781477928,7.781477928,7.781477928,7.781477928,4.868309498,0
22/02/1996,7.961779118,8.247403145,7.892158031,8.192063332,5.125182629,613558303
23/02/1996,8.17599678,8.193847656,7.9689188,8.10459137,5.070457935,546094871
26/02/1996,8.193847656,8.363437653,8.070672989,8.122442245,5.081625462,544960514
27/02/1996,8.168855667,8.211700439,7.892158031,8.029614449,5.023550034,542491536
28/02/1996,8.184923172,8.275964737,8.051035881,8.068887711,5.048120022,427826248
