Date,Open,High,Low,Close,Adjusted Close,Volume
2011-01-31,4061.5,4188.25,4028.699951171875,4169.10009765625,4169.10009765625,0
2011-02-01,4179.4501953125,4199.7001953125,4098.89990234375,4108.25,4108.25,0
2011-02-02,4135.9501953125,4163.4501953125,4064.85009765625,4080.0,4080.0,0
2011-02-03,4081.14990234375,4171.10009765625,4069.89990234375,4165.14990234375,4165.14990234375,0
2011-02-04,4170.10009765625,4223.25,4101.64990234375,4116.5498046875,4116.5498046875,0
2011-02-07,4132.60009765625,4148.10009765625,4084.10009765625,4094.60009765625,4094.60009765625,0
2011-02-08,4097.85009765625,4125.64990234375,4020.0,4029.35009765625,4029.35009765625,0
2011-02-09,4026.949951171875,4026.949951171875,3936.39990234375,3954.5,3954.5,0
2011-02-10,3954.10009765625,3973.25,3851.75,3898.800048828125,3898.800048828125,0
2011-02-11,3903.25,4057.800048828125,3878.449951171875,4048.35009765625,4048.35009765625,0
2011-02-14,4066.050048828125,4207.4501953125,4066.050048828125,4200.85009765625,4200.85009765625,0
2011-02-15,4210.7001953125,4303.7001953125,4158.25,4277.5,4277.5,0
2011-02-16,4273.2998046875,4317.85009765625,4263.2998046875,4284.35009765625,4284.35009765625,0
2011-02-17,4285.14990234375,4345.4501953125,4282.7998046875,4337.39990234375,4337.39990234375,0
2011-02-18,4338.7998046875,4394.7001953125,4257.0,4279.39990234375,4279.39990234375,0
2011-02-21,4281.60009765625,4315.89990234375,4230.9501953125,4307.75,4307.75,0
2011-02-22,4292.89990234375,4292.89990234375,4211.0498046875,4223.4501953125,4223.4501953125,0
2011-02-23,4208.5,4221.9501953125,4118.25,4128.35009765625,4128.35009765625,0
2011-02-24,4135.7001953125,4143.89990234375,3955.14990234375,3976.0,3976.0,0
2011-02-25,3993.949951171875,4088.39990234375,3980.85009765625,4070.5,4070.5,0
2011-02-28,4081.050048828125,4186.5498046875,4069.75,4125.5,4125.5,0
2011-03-01,4147.0,4263.7998046875,4147.0,4253.60009765625,4253.60009765625,0
2011-03-03,4243.10009765625,4293.35009765625,4194.9501953125,4231.14990234375,4231.14990234375,0
2011-03-04,4257.10009765625,4297.2001953125,4232.7001953125,4244.64990234375,4244.64990234375,0
2011-03-07,4230.60009765625,4230.60009765625,4133.10009765625,4160.7998046875,4160.7998046875,0
2011-03-08,4161.89990234375,4229.60009765625,4161.89990234375,4217.25,4217.25,0
2011-03-09,4233.10009765625,4256.10009765625,4199.60009765625,4216.5,4216.5,0
2011-03-10,4206.7998046875,4206.7998046875,4143.0,4170.60009765625,4170.60009765625,0
2011-03-11,4158.75,4177.0,4116.14990234375,4124.64990234375,4124.64990234375,0
2011-03-14,4131.25,4197.60009765625,4121.14990234375,4186.0498046875,4186.0498046875,61400
2011-03-15,4149.5498046875,4159.0,4070.199951171875,4136.39990234375,4136.39990234375,104500
2011-03-16,4149.60009765625,4249.60009765625,4149.60009765625,4239.2001953125,4239.2001953125,109300
2011-03-17,4220.0498046875,4262.0498046875,4194.89990234375,4207.5498046875,4207.5498046875,110200
2011-03-18,4222.5498046875,4236.7998046875,4143.4501953125,4155.39990234375,4155.39990234375,101300
2011-03-21,4173.60009765625,4185.7001953125,4122.0,4151.7001953125,4151.7001953125,72900
2011-03-22,4163.10009765625,4201.85009765625,4163.10009765625,4191.2001953125,4191.2001953125,83200
2011-03-23,4187.2001953125,4221.14990234375,4163.39990234375,4215.14990234375,4215.14990234375,89700
2011-03-24,4221.4501953125,4253.9501953125,4221.10009765625,4241.85009765625,4241.85009765625,96700
2011-03-25,4257.10009765625,4330.0498046875,4252.5,4323.25,4323.25,116900
2011-03-28,4320.7998046875,4402.5498046875,4320.7998046875,4387.7001953125,4387.7001953125,193300
2011-03-29,4381.60009765625,4438.64990234375,4381.60009765625,4416.4501953125,4416.4501953125,109600
2011-03-30,4426.10009765625,4550.25,4426.10009765625,4528.7998046875,4528.7998046875,133800
2011-03-31,4547.5498046875,4567.75,4415.7001953125,4454.0,4454.0,222500
2011-04-01,4454.89990234375,4459.4501953125,4386.2001953125,4399.35009765625,4399.35009765625,107700
2011-04-04,4407.10009765625,4477.35009765625,4407.10009765625,4465.89990234375,4465.89990234375,112300
2011-04-05,4481.7998046875,4521.14990234375,4437.35009765625,4513.64990234375,4513.64990234375,165400
2011-04-06,4515.60009765625,4537.35009765625,4474.2998046875,4503.2001953125,4503.2001953125,123000
2011-04-07,4500.5498046875,4550.85009765625,4478.25,4530.25,4530.25,96400
2011-04-08,4527.60009765625,4547.7001953125,4435.64990234375,4456.39990234375,4456.39990234375,135300
2011-04-11,4458.0,4473.35009765625,4430.89990234375,4457.5498046875,4457.5498046875,85700
2011-04-13,4443.75,4517.2998046875,4428.14990234375,4509.85009765625,4509.85009765625,108200
2011-04-15,4508.35009765625,4557.89990234375,4479.5498046875,4504.0,4504.0,121300
2011-04-18,4503.7998046875,4556.4501953125,4438.2998046875,4443.35009765625,4443.35009765625,107700
2011-04-19,4445.9501953125,4459.14990234375,4401.64990234375,4425.60009765625,4425.60009765625,179200
2011-04-20,4445.4501953125,4498.14990234375,4417.2001953125,4491.85009765625,4491.85009765625,111800
2011-04-21,4512.0,4545.7998046875,4505.2001953125,4528.10009765625,4528.10009765625,105700
2011-04-25,4536.9501953125,4618.89990234375,4536.9501953125,4603.5498046875,4603.5498046875,87500
2011-04-26,4606.2998046875,4632.39990234375,4559.0,4612.25,4612.25,85700
2011-04-27,4617.39990234375,4639.89990234375,4577.35009765625,4597.25,4597.25,79700
2011-04-28,4611.2001953125,4614.89990234375,4489.75,4499.7001953125,4499.7001953125,127200
2011-04-29,4499.10009765625,4505.2001953125,4360.7998046875,4385.75,4385.75,130400
2011-05-02,4389.75,4402.5,4207.5498046875,4227.0498046875,4227.0498046875,222200
2011-05-03,4215.89990234375,4280.39990234375,4057.75,4064.25,4064.25,288400
2011-05-04,4072.949951171875,4113.75,4015.199951171875,4081.89990234375,4081.89990234375,233400
2011-05-05,4082.5,4119.64990234375,4028.14990234375,4041.64990234375,4041.64990234375,150500
2011-05-06,4043.449951171875,4178.39990234375,4043.449951171875,4166.2998046875,4166.2998046875,178700
2011-05-09,4174.5,4190.5,4103.5498046875,4135.75,4135.75,99400
2011-05-10,4133.75,4152.0498046875,4112.60009765625,4139.14990234375,4139.14990234375,82200
2011-05-11,4148.7001953125,4189.5498046875,4107.7998046875,4173.0498046875,4173.0498046875,90800
2011-05-12,4160.9501953125,4179.60009765625,4118.10009765625,4126.7998046875,4126.7998046875,104700
2011-05-13,4131.7001953125,4184.75,4095.60009765625,4145.60009765625,4145.60009765625,110900
2011-05-16,4140.2001953125,4140.2001953125,4085.550048828125,4105.10009765625,4105.10009765625,70500
2011-05-17,4113.85009765625,4118.2998046875,3912.199951171875,3919.800048828125,3919.800048828125,162000
2011-05-18,3894.10009765625,3900.199951171875,3831.699951171875,3857.5,3857.5,128100
2011-05-19,3865.85009765625,3882.39990234375,3807.199951171875,3815.800048828125,3815.800048828125,91400
2011-05-20,3808.050048828125,3872.35009765625,3808.050048828125,3825.050048828125,3825.050048828125,108600
2011-05-23,3820.35009765625,3820.35009765625,3719.25,3728.949951171875,3728.949951171875,94700
2011-05-24,3724.10009765625,3757.699951171875,3705.550048828125,3741.85009765625,3741.85009765625,88400
2011-05-25,3740.449951171875,3757.5,3706.35009765625,3713.14990234375,3713.14990234375,110300
2011-05-26,3718.550048828125,3747.75,3703.25,3730.85009765625,3730.85009765625,160100
2011-05-27,3737.0,3801.10009765625,3737.0,3796.0,3796.0,110100
2011-05-30,3801.25,3827.60009765625,3780.25,3804.60009765625,3804.60009765625,74200
2011-05-31,3817.449951171875,3903.699951171875,3817.449951171875,3889.449951171875,3889.449951171875,155100
2011-06-01,3898.0,3933.60009765625,3892.25,3917.550048828125,3917.550048828125,91100
2011-06-02,3898.39990234375,3903.14990234375,3859.050048828125,3894.10009765625,3894.10009765625,70300
2011-06-03,3896.5,3926.699951171875,3852.75,3861.64990234375,3861.64990234375,73900
2011-06-06,3854.39990234375,3880.10009765625,3810.949951171875,3872.800048828125,3872.800048828125,55700
2011-06-07,3870.0,3897.25,3857.39990234375,3892.75,3892.75,50800
2011-06-08,3888.800048828125,3901.14990234375,3860.800048828125,3870.800048828125,3870.800048828125,51600
2011-06-09,3870.300048828125,3894.0,3838.800048828125,3852.39990234375,3852.39990234375,56800
2011-06-10,3857.699951171875,3868.75,3806.300048828125,3826.050048828125,3826.050048828125,64900
