Date,Open,High,Low,Close,Adjusted Close,Volume
2007-09-17,6898.0,6977.2001953125,6843.0,6897.10009765625,6897.02001953125,0
2007-09-18,6921.14990234375,7078.9501953125,6883.60009765625,7059.64990234375,7059.56787109375,0
2007-09-19,7111.0,7419.35009765625,7111.0,7401.85009765625,7401.76416015625,0
2007-09-20,7404.9501953125,7462.89990234375,7343.60009765625,7390.14990234375,7390.06396484375,0
2007-09-21,7378.2998046875,7506.35009765625,7367.14990234375,7464.5,7464.4130859375,0
2007-09-24,7514.39990234375,7661.0498046875,7514.39990234375,7650.89990234375,7650.81103515625,0
2007-09-25,7658.5,7694.25,7490.2001953125,7629.14990234375,7629.06103515625,0
2007-09-26,7647.10009765625,7829.85009765625,7591.7998046875,7755.89990234375,7755.8095703125,0
2007-09-27,7804.5498046875,7866.5,7747.10009765625,7833.64990234375,7833.55908203125,0
2007-09-28,7838.25,8082.85009765625,7836.0498046875,8042.2001953125,8042.10693359375,0
2007-10-01,8008.5498046875,8085.14990234375,7913.2998046875,7987.5,7987.4072265625,0
2007-10-03,8029.7998046875,8235.7998046875,7820.25,8097.89990234375,8097.8056640625,0
2007-10-04,8083.2998046875,8086.7001953125,7828.64990234375,8035.89990234375,8035.806640625,0
2007-10-05,8038.10009765625,8066.5498046875,7789.7001953125,7845.25,7845.15869140625,0
2007-10-08,7853.14990234375,7935.4501953125,7516.4501953125,7626.39990234375,7626.31103515625,0
2007-10-09,7580.89990234375,7916.4501953125,7535.0498046875,7895.85009765625,7895.75830078125,0
2007-10-10,7960.64990234375,8081.0498046875,7907.35009765625,8030.64990234375,8030.556640625,0
2007-10-11,8054.2998046875,8177.75,8005.5,8158.7998046875,8158.705078125,0
2007-10-12,8093.64990234375,8132.10009765625,7889.7998046875,7934.0,7933.90771484375,0
2007-10-15,7962.5498046875,8306.349609375,7962.5498046875,8286.2998046875,8286.203125,0
2007-10-16,8361.400390625,8491.650390625,8240.2998046875,8452.2001953125,8452.1015625,0
2007-10-17,8071.5498046875,8218.099609375,7641.5,8099.89990234375,8099.8056640625,0
2007-10-18,8055.14990234375,8192.4501953125,7519.7001953125,7608.75,7608.66162109375,0
2007-10-19,7637.39990234375,7718.89990234375,7279.2998046875,7423.7998046875,7423.71337890625,0
2007-10-22,7374.35009765625,7621.64990234375,7289.2001953125,7568.0,7567.912109375,0
2007-10-23,7621.0498046875,8118.75,7621.0498046875,8101.10009765625,8101.005859375,0
2007-10-24,8167.9501953125,8276.650390625,8058.5498046875,8228.650390625,8228.5546875,0
2007-10-25,8228.2001953125,8528.25,8185.5498046875,8428.650390625,8428.552734375,0
2007-10-26,8426.400390625,8804.900390625,8257.0498046875,8749.900390625,8749.798828125,0
2007-10-29,8918.0498046875,9122.349609375,8865.650390625,9000.75,9000.6455078125,0
2007-10-30,9024.5498046875,9237.7998046875,8832.5,8934.150390625,8934.046875,0
2007-10-31,8906.2998046875,9116.7998046875,8839.400390625,9013.150390625,9013.0458984375,0
2007-11-01,9220.400390625,9358.0,9032.7001953125,9198.599609375,9198.4931640625,0
2007-11-02,8953.400390625,9610.7001953125,8898.2001953125,9560.7001953125,9560.5888671875,0
2007-11-05,9549.7998046875,9692.5,9346.25,9397.5498046875,9397.4404296875,0
2007-11-06,9383.5498046875,9550.650390625,9129.849609375,9216.2998046875,9216.1923828125,0
2007-11-07,9215.400390625,9388.0498046875,9049.650390625,9090.2001953125,9090.0947265625,0
2007-11-08,9090.7998046875,9090.7998046875,8816.9501953125,8876.25,8876.146484375,0
2007-11-12,8596.150390625,8819.900390625,8429.349609375,8758.2001953125,8758.0986328125,0
2007-11-13,8761.349609375,9149.0,8642.849609375,9060.0,9059.89453125,0
2007-11-14,9230.650390625,9651.849609375,9230.650390625,9613.0498046875,9612.9384765625,0
2007-11-15,9560.2001953125,9601.4501953125,9422.349609375,9454.7001953125,9454.58984375,0
2007-11-16,9476.849609375,9538.650390625,9272.349609375,9474.150390625,9474.0400390625,0
2007-11-19,9541.099609375,9595.4501953125,9367.849609375,9396.25,9396.140625,0
2007-11-20,9356.400390625,9574.849609375,9210.099609375,9277.849609375,9277.7421875,0
