Date,Open,High,Low,Close,Adjusted Close,Volume
2011-01-31,8707.9501953125,8709.9501953125,8500.650390625,8595.7001953125,8595.7001953125,0
2011-02-01,8625.599609375,8665.5,8352.75,8449.5,8449.5,0
2011-02-02,8491.25,8555.25,8411.9501953125,8440.0498046875,8440.0498046875,0
2011-02-03,8411.099609375,8551.150390625,8405.25,8491.2998046875,8491.2998046875,0
2011-02-04,8495.849609375,8524.0,8188.75,8230.0498046875,8230.0498046875,0
2011-02-07,8332.599609375,8396.0,8240.150390625,8331.4501953125,8331.4501953125,0
2011-02-08,8356.0498046875,8378.7001953125,8239.7998046875,8260.7998046875,8260.7998046875,0
2011-02-09,8248.400390625,8263.2001953125,8111.89990234375,8181.10009765625,8181.10009765625,0
2011-02-10,8167.64990234375,8284.2001953125,8162.89990234375,8194.75,8194.75,0
2011-02-11,8214.9501953125,8230.2001953125,8118.5498046875,8186.75,8186.75,0
2011-02-14,8191.35009765625,8443.400390625,8191.35009765625,8393.150390625,8393.150390625,0
2011-02-15,8430.099609375,8440.400390625,8328.75,8376.349609375,8376.349609375,0
2011-02-16,8345.150390625,8459.0,8345.150390625,8412.75,8412.75,0
2011-02-17,8427.599609375,8486.400390625,8342.5,8474.349609375,8474.349609375,0
2011-02-18,8466.75,8574.7998046875,8389.849609375,8410.0,8410.0,0
2011-02-21,8413.349609375,8494.900390625,8348.5498046875,8473.5,8473.5,0
2011-02-22,8459.599609375,8466.849609375,8368.25,8422.900390625,8422.900390625,0
2011-02-23,8421.349609375,8443.7001953125,8366.0498046875,8384.7998046875,8384.7998046875,0
2011-02-24,8332.400390625,8385.599609375,8104.64990234375,8157.4501953125,8157.4501953125,0
2011-02-25,8202.5498046875,8375.0498046875,8176.64990234375,8357.849609375,8357.849609375,0
2011-02-28,8348.25,8810.5,8310.7998046875,8730.349609375,8730.349609375,0
2011-03-01,8789.9501953125,8962.599609375,8789.9501953125,8943.099609375,8943.099609375,0
2011-03-03,8895.0498046875,9047.5498046875,8895.0498046875,8976.5498046875,8976.5498046875,0
2011-03-04,9000.5,9019.099609375,8902.25,8926.150390625,8926.150390625,0
2011-03-07,8882.7998046875,8917.75,8738.0,8883.25,8883.25,0
2011-03-08,8911.150390625,8966.25,8861.25,8881.7998046875,8881.7998046875,0
2011-03-09,8903.849609375,8942.150390625,8823.849609375,8855.650390625,8855.650390625,0
2011-03-10,8842.650390625,8852.9501953125,8774.900390625,8828.4501953125,8828.4501953125,0
2011-03-11,8804.400390625,8912.349609375,8783.650390625,8838.75,8838.75,0
2011-03-14,8850.150390625,8922.2001953125,8830.349609375,8910.9501953125,8910.9501953125,10885000
2011-03-15,8828.400390625,8891.650390625,8684.9501953125,8775.400390625,8775.400390625,13803000
2011-03-16,8798.599609375,8844.7998046875,8784.5498046875,8803.099609375,8803.099609375,11659000
2011-03-17,8749.099609375,8801.849609375,8654.7001953125,8674.7998046875,8674.7998046875,14224000
2011-03-18,8726.75,8742.7998046875,8575.7998046875,8649.5498046875,8649.5498046875,12635000
2011-03-21,8672.2998046875,8705.5,8611.5498046875,8623.4501953125,8623.4501953125,8377000
2011-03-22,8653.7001953125,8723.650390625,8618.75,8686.150390625,8686.150390625,8503000
2011-03-23,8683.0498046875,8778.9501953125,8664.650390625,8756.0,8756.0,8944000
2011-03-24,8787.2001953125,8814.0498046875,8765.599609375,8790.0498046875,8790.0498046875,9961000
2011-03-25,8851.150390625,8948.7998046875,8821.0498046875,8930.0,8930.0,19141000
2011-03-28,8905.7998046875,9046.400390625,8905.7998046875,9006.2998046875,9006.2998046875,15166000
2011-03-29,9029.2998046875,9064.150390625,9008.25,9030.0,9030.0,16242000
2011-03-30,9033.349609375,9117.2001953125,8972.5498046875,9005.650390625,9005.650390625,18228000
2011-03-31,9026.349609375,9254.650390625,9026.349609375,9188.4501953125,9188.4501953125,34122000
2011-04-01,9180.9501953125,9289.7001953125,9174.2998046875,9209.4501953125,9209.4501953125,24444000
2011-04-04,9231.400390625,9289.7001953125,9212.25,9280.2001953125,9280.2001953125,15522000
2011-04-05,9273.7998046875,9325.2998046875,9239.75,9270.0498046875,9270.0498046875,18105000
2011-04-06,9249.75,9307.650390625,9166.2998046875,9257.2001953125,9257.2001953125,13241000
