Date,Open,High,Low,Close,Adjusted Close,Volume
2011-09-07,4010.679931640625,4010.679931640625,4010.679931640625,4010.679931640625,4010.679931640625,0
2011-09-08,4018.360107421875,4018.360107421875,4018.360107421875,4018.360107421875,4018.360107421875,0
2011-09-09,4018.360107421875,4018.360107421875,4018.360107421875,4018.360107421875,4018.360107421875,0
2011-09-12,3942.52001953125,3942.52001953125,3942.52001953125,3942.52001953125,3942.52001953125,0
2011-09-13,3836.639892578125,3836.639892578125,3836.639892578125,3836.639892578125,3836.639892578125,0
2011-09-14,3814.820068359375,3814.820068359375,3814.820068359375,3814.820068359375,3814.820068359375,0
2011-09-15,3855.97998046875,3855.97998046875,3855.97998046875,3855.97998046875,3855.97998046875,0
2011-09-16,3965.1201171875,3965.1201171875,3965.1201171875,3965.1201171875,3965.1201171875,0
2011-09-19,3914.110107421875,3914.110107421875,3914.110107421875,3914.110107421875,3914.110107421875,0
2011-09-20,4012.219970703125,4012.219970703125,4012.219970703125,4012.219970703125,4012.219970703125,0
2011-09-21,4043.219970703125,4043.219970703125,4043.219970703125,4043.219970703125,4043.219970703125,0
2011-09-22,3867.06005859375,3867.06005859375,3867.06005859375,3867.06005859375,3867.06005859375,0
2011-09-23,3793.800048828125,3793.800048828125,3793.800048828125,3793.800048828125,3793.800048828125,0
2011-09-26,3785.889892578125,3785.889892578125,3785.889892578125,3785.889892578125,3785.889892578125,0
2011-09-27,3883.300048828125,3883.300048828125,3883.300048828125,3883.300048828125,3883.300048828125,0
2011-09-28,3840.739990234375,3840.739990234375,3840.739990234375,3840.739990234375,3840.739990234375,0
2011-09-29,3905.35009765625,3905.35009765625,3905.35009765625,3905.35009765625,3905.35009765625,0
2011-09-30,3833.4599609375,3833.4599609375,3833.4599609375,3833.4599609375,3833.4599609375,0
2011-10-03,3736.97998046875,3736.97998046875,3736.97998046875,3736.97998046875,3736.97998046875,0
2011-10-04,3636.929931640625,3636.929931640625,3636.929931640625,3636.929931640625,3636.929931640625,0
2011-10-05,3575.070068359375,3575.070068359375,3575.070068359375,3575.070068359375,3575.070068359375,0
2011-10-07,3709.47998046875,3709.47998046875,3709.47998046875,3709.47998046875,3709.47998046875,0
2011-10-10,3778.72998046875,3778.72998046875,3778.72998046875,3778.72998046875,3778.72998046875,0
2011-10-11,3790.429931640625,3790.429931640625,3790.429931640625,3790.429931640625,3790.429931640625,0
2011-10-12,3892.81005859375,3892.81005859375,3892.81005859375,3892.81005859375,3892.81005859375,0
2011-10-13,3909.39990234375,3909.39990234375,3909.39990234375,3909.39990234375,3909.39990234375,0
2011-10-14,3935.639892578125,3935.639892578125,3935.639892578125,3935.639892578125,3935.639892578125,0
2011-10-17,3960.659912109375,3960.659912109375,3960.659912109375,3960.659912109375,3960.659912109375,0
2011-10-18,3915.080078125,3915.080078125,3915.080078125,3915.080078125,3915.080078125,0
2011-10-19,4002.489990234375,4002.489990234375,4002.489990234375,4002.489990234375,4002.489990234375,0
2011-10-20,3932.60009765625,3932.60009765625,3932.60009765625,3932.60009765625,3932.60009765625,0
2011-10-21,3901.3701171875,3901.3701171875,3901.3701171875,3901.3701171875,3901.3701171875,0
2011-10-24,3902.2099609375,3902.2099609375,3902.2099609375,3902.2099609375,3902.2099609375,0
2011-10-25,3908.39990234375,3908.39990234375,3908.39990234375,3908.39990234375,3908.39990234375,0
2011-10-28,4065.22998046875,4065.22998046875,4065.22998046875,4065.22998046875,4065.22998046875,0
2011-10-31,4076.530029296875,4076.530029296875,4076.530029296875,4076.530029296875,4076.530029296875,0
2011-11-01,4014.75,4014.75,4014.75,4014.75,4014.75,0
2011-11-02,3999.679931640625,3999.679931640625,3999.679931640625,3999.679931640625,3999.679931640625,0
2011-11-03,3999.659912109375,3999.659912109375,3999.659912109375,3999.659912109375,3999.659912109375,0
2011-11-04,4019.35009765625,4019.35009765625,4019.35009765625,4019.35009765625,4019.35009765625,0
2011-11-08,4020.110107421875,4020.110107421875,4020.110107421875,4020.110107421875,4020.110107421875,0
2011-11-09,3942.320068359375,3942.320068359375,3942.320068359375,3942.320068359375,3942.320068359375,0
2011-11-11,3821.75,3821.75,3821.75,3821.75,3821.75,0
2011-11-14,3816.14990234375,3816.14990234375,3816.14990234375,3816.14990234375,3816.14990234375,0
2011-11-15,3737.60009765625,3737.60009765625,3737.60009765625,3737.60009765625,3737.60009765625,0
2011-11-16,3718.360107421875,3718.360107421875,3718.360107421875,3718.360107421875,3718.360107421875,0
2011-11-17,3660.4599609375,3660.4599609375,3660.4599609375,3660.4599609375,3660.4599609375,0
2011-11-18,3647.6298828125,3647.6298828125,3647.6298828125,3647.6298828125,3647.6298828125,0
2011-11-21,3527.10009765625,3527.10009765625,3527.10009765625,3527.10009765625,3527.10009765625,0
2011-11-22,3566.469970703125,3566.469970703125,3566.469970703125,3566.469970703125,3566.469970703125,0
2011-11-23,3476.81005859375,3476.81005859375,3476.81005859375,3476.81005859375,3476.81005859375,0
